year,location,event,athlete,country,medal,timeFormat,altitude
1924,"Chamonix, France",500m Men,Charles Jewtraw,USA,GOLD,00:44.00,1035
1924,"Chamonix, France",500m Men,Oskar Olsen,NOR,SILVER,00:44.20,1035
1924,"Chamonix, France",500m Men,Roald Larsen,NOR,BRONZE,00:44.80,1035
1924,"Chamonix, France",500m Men,Clas Thunberg,FIN,BRONZE,00:44.80,1035
1924,"Chamonix, France",1500m Men,Clas Thunberg,FIN,GOLD,02:20.00,1035
1924,"Chamonix, France",1500m Men,Roald Larsen,NOR,SILVER,02:22.00,1035
1924,"Chamonix, France",1500m Men,Sigurd Moen,NOR,BRONZE,02:25.00,1035
1924,"Chamonix, France",5000m Men,Clas Thunberg,FIN,GOLD,08:39.00,1035
1924,"Chamonix, France",5000m Men,Julius Skutnabb,FIN,SILVER,08:48.00,1035
1924,"Chamonix, France",5000m Men,Roald Larsen,NOR,BRONZE,08:50.00,1035
1924,"Chamonix, France",10000m Men,Julius Skutnabb,FIN,GOLD,18:04.00,1035
1924,"Chamonix, France",10000m Men,Clas Thunberg,FIN,SILVER,18:07.00,1035
1924,"Chamonix, France",10000m Men,Roald Larsen,NOR,BRONZE,18:12.00,1035
1924,"Chamonix, France",Four-Race Combined,Clas Thunberg,FIN,GOLD,00:05.50,1035
1924,"Chamonix, France",Four-Race Combined,Roald Larsen,NOR,SILVER,00:09.50,1035
1924,"Chamonix, France",Four-Race Combined,Julius Skutnabb,FIN,BRONZE,00:11.00,1035
1928,"St. Moritz, Switzerland",500m Men,Bæla Evensen,NOR,GOLD,00:43.40,1822
1928,"St. Moritz, Switzerland",500m Men,Clas Thunberg,FIN,GOLD,00:43.40,1822
1928,"St. Moritz, Switzerland",500m Men,John Farrell,USA,BRONZE,,1822
1928,"St. Moritz, Switzerland",500m Men,Jaako Friman,FIN,BRONZE,,1822
1928,"St. Moritz, Switzerland",500m Men,Roald Larsen,NOR,BRONZE,,1822
1928,"St. Moritz, Switzerland",1500m Men,Clas Thunberg,FIN,GOLD,02:21.00,1822
1928,"St. Moritz, Switzerland",1500m Men,Bæla Evensen,NOR,SILVER,02:21.00,1822
1928,"St. Moritz, Switzerland",1500m Men,Ivar Ballangrud,NOR,BRONZE,02:22.00,1822
1928,"St. Moritz, Switzerland",5000m Men,Ivar Ballangrud,NOR,GOLD,08:50.00,1822
1928,"St. Moritz, Switzerland",5000m Men,Julius Skutnabb,FIN,SILVER,08:59.00,1822
1928,"St. Moritz, Switzerland",5000m Men,Bæla Evensen,NOR,BRONZE,09:01.00,1822
1932,"Lake Placid, United States",500m Men,Jack Shea,USA,GOLD,00:43.40,568
1932,"Lake Placid, United States",500m Men,Bæla Evensen,NOR,SILVER,,568
1932,"Lake Placid, United States",500m Men,Alexander Hurd,CAN,BRONZE,,568
1932,"Lake Placid, United States",1500m Men,Jack Shea,USA,GOLD,02:57.00,568
1932,"Lake Placid, United States",1500m Men,Alexander Hurd,CAN,SILVER,,568
1932,"Lake Placid, United States",1500m Men,William Logan,CAN,BRONZE,,568
1932,"Lake Placid, United States",5000m Men,Irving Jaffee,USA,GOLD,09:40.00,568
1932,"Lake Placid, United States",5000m Men,Edward Murphy,USA,SILVER,,568
1932,"Lake Placid, United States",5000m Men,William Logan,CAN,BRONZE,,568
1932,"Lake Placid, United States",10000m Men,Irving Jaffee,USA,GOLD,19:13.00,568
1932,"Lake Placid, United States",10000m Men,Ivar Ballangrud,NOR,SILVER,,568
1932,"Lake Placid, United States",10000m Men,Frank Stack,CAN,BRONZE,,568
1936,"Garmisch-Partenkirchen, Germany",500m Men,Ivar Ballangrud,NOR,GOLD,00:43.40,708
1936,"Garmisch-Partenkirchen, Germany",500m Men,Georg Krog,NOR,SILVER,00:43.50,708
1936,"Garmisch-Partenkirchen, Germany",500m Men,Leo Freisinger,USA,BRONZE,00:44.00,708
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Charles Mathiesen,NOR,GOLD,02:19.00,708
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Ivar Ballangrud,NOR,SILVER,02:20.00,708
1936,"Garmisch-Partenkirchen, Germany",1500m Men,Birger Wasenius,FIN,BRONZE,02:20.00,708
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Ivar Ballangrud,NOR,GOLD,08:19.00,708
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Birger Wasenius,FIN,SILVER,08:23.00,708
1936,"Garmisch-Partenkirchen, Germany",5000m Men,Antero Ojala,FIN,BRONZE,08:30.00,708
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Ivar Ballangrud,NOR,GOLD,17:24.00,708
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Birger Wasenius,FIN,SILVER,17:28.00,708
1936,"Garmisch-Partenkirchen, Germany",10000m Men,Max Stiepl,AUT,BRONZE,17:30.00,708
1948,"St. Moritz, Switzerland",500m Men,Finn Helgesen,NOR,GOLD,00:43.10,1822
1948,"St. Moritz, Switzerland",500m Men,Ken Bartholomew,USA,SILVER,00:43.20,1822
1948,"St. Moritz, Switzerland",500m Men,Thomas Byberg,NOR,SILVER,00:43.20,1822
1948,"St. Moritz, Switzerland",500m Men,Robert Fitzgerald,USA,SILVER,00:43.20,1822
1948,"St. Moritz, Switzerland",1500m Men,Sverre Farstad,NOR,GOLD,02:17.00,1822
1948,"St. Moritz, Switzerland",1500m Men,Åke Seyffarth,SWE,SILVER,02:18.00,1822
1948,"St. Moritz, Switzerland",1500m Men,Odd Lundberg,NOR,BRONZE,02:18.00,1822
1948,"St. Moritz, Switzerland",5000m Men,Reidar Liaklev,NOR,GOLD,08:29.00,1822
1948,"St. Moritz, Switzerland",5000m Men,Odd Lundberg,NOR,SILVER,08:32.00,1822
1948,"St. Moritz, Switzerland",5000m Men,Göthe Hedlund,SWE,BRONZE,08:34.00,1822
1948,"St. Moritz, Switzerland",10000m Men,Åke Seyffarth,SWE,GOLD,17:26.00,1822
1948,"St. Moritz, Switzerland",10000m Men,Lassi Parkkinen,FIN,SILVER,17:36.00,1822
1948,"St. Moritz, Switzerland",10000m Men,Pentti Lammio,FIN,BRONZE,17:42.00,1822
1952,"Oslo, Norway",500m Men,Ken Henry,USA,GOLD,00:43.20,204
1952,"Oslo, Norway",500m Men,Donald McDermott,USA,SILVER,00:43.90,204
1952,"Oslo, Norway",500m Men,Arne Johansen,NOR,BRONZE,00:44.00,204
1952,"Oslo, Norway",500m Men,Gordon Audley,CAN,BRONZE,00:44.00,204
1952,"Oslo, Norway",1500m Men,Hjallis Andersen,NOR,GOLD,02:20.00,204
1952,"Oslo, Norway",1500m Men,Wim van der Voort,NED,SILVER,02:20.00,204
1952,"Oslo, Norway",1500m Men,Roald Aas,NOR,BRONZE,02:21.00,204
1952,"Oslo, Norway",5000m Men,Hjallis Andersen,NOR,GOLD,08:10.00,204
1952,"Oslo, Norway",5000m Men,Kees Broekman,NED,SILVER,08:21.00,204
1952,"Oslo, Norway",5000m Men,Sverre Haugli,NOR,BRONZE,08:22.00,204
1952,"Oslo, Norway",10000m Men,Hjallis Andersen,NOR,GOLD,16:45.00,204
1952,"Oslo, Norway",10000m Men,Kees Broekman,NED,SILVER,17:10.00,204
1952,"Oslo, Norway",10000m Men,Carl-Erik Asplund,SWE,BRONZE,17:16.00,204
1956,"Cortina d'Ampezzo, Italy",500m Men,Yevgeny Grishin,URS,GOLD,00:40.20,1210
1956,"Cortina d'Ampezzo, Italy",500m Men,Rafael Grach,URS,SILVER,00:40.80,1210
1956,"Cortina d'Ampezzo, Italy",500m Men,Alv Gjestvang,NOR,BRONZE,00:41.00,1210
1956,"Cortina d'Ampezzo, Italy",1500m Men,Yevgeny Grishin,URS,GOLD,02:08.00,1210
1956,"Cortina d'Ampezzo, Italy",1500m Men,Yury Mikhaylov,URS,GOLD,02:08.00,1210
1956,"Cortina d'Ampezzo, Italy",1500m Men,Toivo Salonen,FIN,BRONZE,02:09.00,1210
1956,"Cortina d'Ampezzo, Italy",5000m Men,Boris Shilkov,URS,GOLD,07:48.00,1210
1956,"Cortina d'Ampezzo, Italy",5000m Men,Sigge Ericsson,SWE,SILVER,07:56.00,1210
1956,"Cortina d'Ampezzo, Italy",5000m Men,Oleg Goncharenko,URS,BRONZE,07:57.00,1210
1956,"Cortina d'Ampezzo, Italy",10000m Men,Sigge Ericsson,SWE,GOLD,16:35.00,1210
1956,"Cortina d'Ampezzo, Italy",10000m Men,Knut Johannesen,NOR,SILVER,16:36.00,1210
1956,"Cortina d'Ampezzo, Italy",10000m Men,Oleg Goncharenko,URS,BRONZE,16:42.00,1210
1960,"Squaw Valley, United States",500m Men,Yevgeny Grishin,URS,GOLD,00:40.20,1880
1960,"Squaw Valley, United States",500m Men,William Disney,USA,SILVER,00:40.30,1880
1960,"Squaw Valley, United States",500m Men,Rafael Grach,URS,BRONZE,00:40.40,1880
1960,"Squaw Valley, United States",1500m Men,Yevgeny Grishin,URS,GOLD,02:10.00,1880
1960,"Squaw Valley, United States",1500m Men,Roald Aas,NOR,GOLD,02:10.00,1880
1960,"Squaw Valley, United States",1500m Men,Boris Stenin,URS,BRONZE,02:11.00,1880
1960,"Squaw Valley, United States",5000m Men,Viktor Kosichkin,URS,GOLD,07:51.00,1880
1960,"Squaw Valley, United States",5000m Men,Knut Johannesen,NOR,SILVER,08:00.00,1880
1960,"Squaw Valley, United States",5000m Men,Jan Pesman,NED,BRONZE,08:05.00,1880
1960,"Squaw Valley, United States",10000m Men,Knut Johannesen,NOR,GOLD,15:46.00,1880
1960,"Squaw Valley, United States",10000m Men,Viktor Kosichkin,URS,SILVER,15:49.00,1880
1960,"Squaw Valley, United States",10000m Men,Kjell Båckman,SWE,BRONZE,16:14.00,1880
1960,"Squaw Valley, United States",500m Women,Helga Haase,GER,GOLD,00:45.90,1880
1960,"Squaw Valley, United States",500m Women,Natalya Donchenko,URS,SILVER,00:46.00,1880
1960,"Squaw Valley, United States",500m Women,Jeanne Ashworth,USA,BRONZE,00:46.10,1880
1960,"Squaw Valley, United States",1000m Women,Klara Guseva,URS,GOLD,01:34.00,1880
1960,"Squaw Valley, United States",1000m Women,Helga Haase,GER,SILVER,01:34.00,1880
1960,"Squaw Valley, United States",1000m Women,Tamara Rylova,URS,BRONZE,01:34.00,1880
1960,"Squaw Valley, United States",1500m Women,Lidiya Skoblikova,URS,GOLD,02:25.00,1880
1960,"Squaw Valley, United States",1500m Women,Elvira Seroczynska,POL,SILVER,02:25.00,1880
1960,"Squaw Valley, United States",1500m Women,Helena Pilejczykowa,POL,BRONZE,02:27.00,1880
1960,"Squaw Valley, United States",3000m Women,Lidiya Skoblikova,URS,GOLD,05:14.00,1880
1960,"Squaw Valley, United States",3000m Women,Valentina Stenina,URS,SILVER,05:16.00,1880
1960,"Squaw Valley, United States",3000m Women,Eevi Huttunen,FIN,BRONZE,05:21.00,1880
1964,"Innsbruck, Austria",500m Men,Terry McDermott,USA,GOLD,00:40.10,590
1964,"Innsbruck, Austria",500m Men,Vladimir Orlov,URS,SILVER,00:40.60,590
1964,"Innsbruck, Austria",500m Men,Alv Gjestvang,NOR,SILVER,00:40.60,590
1964,"Innsbruck, Austria",500m Men,Yevgeny Grishin,URS,SILVER,00:40.60,590
1964,"Innsbruck, Austria",1500m Men,Ants Antson,URS,GOLD,02:10.00,590
1964,"Innsbruck, Austria",1500m Men,Kees Verkerk,NED,SILVER,02:10.00,590
1964,"Innsbruck, Austria",1500m Men,Villy Haugen,NOR,BRONZE,02:11.00,590
1964,"Innsbruck, Austria",5000m Men,Knut Johannesen,NOR,GOLD,07:38.00,590
1964,"Innsbruck, Austria",5000m Men,Per Ivar Moe,NOR,SILVER,07:38.00,590
1964,"Innsbruck, Austria",5000m Men,Fred Anton Maier,NOR,BRONZE,07:42.00,590
1964,"Innsbruck, Austria",10000m Men,Jonny Nilsson,SWE,GOLD,15:50.00,590
1964,"Innsbruck, Austria",10000m Men,Fred Anton Maier,NOR,SILVER,16:06.00,590
1964,"Innsbruck, Austria",10000m Men,Knut Johannesen,NOR,BRONZE,16:06.00,590
1964,"Innsbruck, Austria",500m Women,Lidiya Skoblikova,URS,GOLD,00:45.00,590
1964,"Innsbruck, Austria",500m Women,Irina Yegorova,URS,SILVER,00:45.40,590
1964,"Innsbruck, Austria",500m Women,Tatyana Sidorova,URS,BRONZE,00:45.50,590
1964,"Innsbruck, Austria",1000m Women,Lidiya Skoblikova,URS,GOLD,01:33.00,590
1964,"Innsbruck, Austria",1000m Women,Irina Yegorova,URS,SILVER,01:34.00,590
1964,"Innsbruck, Austria",1000m Women,Kaija Mustonen,FIN,BRONZE,01:34.00,590
1964,"Innsbruck, Austria",1500m Women,Lidiya Skoblikova,URS,GOLD,02:22.00,590
1964,"Innsbruck, Austria",1500m Women,Kaija Mustonen,FIN,SILVER,02:25.00,590
1964,"Innsbruck, Austria",1500m Women,Berta Kolokoltseva,URS,BRONZE,02:27.00,590
1964,"Innsbruck, Austria",3000m Women,Lidiya Skoblikova,URS,GOLD,05:14.00,590
1964,"Innsbruck, Austria",3000m Women,Valentina Stenina,URS,SILVER,05:18.00,590
1964,"Innsbruck, Austria",3000m Women,Pil-Hwa Han,PRK,SILVER,05:18.00,590
1968,"Grenoble, France",500m Men,Erhard Keller,FRG,GOLD,00:40.30,213
1968,"Grenoble, France",500m Men,Terry McDermott,USA,SILVER,00:40.50,213
1968,"Grenoble, France",500m Men,Magne Thomassen,NOR,SILVER,00:40.50,213
1968,"Grenoble, France",1500m Men,Kees Verkerk,NED,GOLD,02:03.00,213
1968,"Grenoble, France",1500m Men,Ard Schenk,NED,SILVER,02:05.00,213
1968,"Grenoble, France",1500m Men,Ivar Eriksen,NOR,SILVER,02:05.00,213
1968,"Grenoble, France",5000m Men,Fred Anton Maier,NOR,GOLD,07:22.00,213
1968,"Grenoble, France",5000m Men,Kees Verkerk,NED,SILVER,07:23.00,213
1968,"Grenoble, France",5000m Men,Peter Nottet,NED,BRONZE,07:25.00,213
1968,"Grenoble, France",10000m Men,Johnny Höglin,SWE,GOLD,15:23.00,213
1968,"Grenoble, France",10000m Men,Fred Anton Maier,NOR,SILVER,15:23.00,213
1968,"Grenoble, France",10000m Men,Örjan Sandler,SWE,BRONZE,15:31.00,213
1968,"Grenoble, France",500m Women,Lyudmila Titova,URS,GOLD,00:46.10,213
1968,"Grenoble, France",500m Women,Mary Meyers,USA,SILVER,00:46.30,213
1968,"Grenoble, France",500m Women,Dianne Holum,USA,SILVER,00:46.30,213
1968,"Grenoble, France",500m Women,Jennifer Fish,USA,SILVER,00:46.30,213
1968,"Grenoble, France",1000m Women,Carry Geijssen,NED,GOLD,01:32.00,213
1968,"Grenoble, France",1000m Women,Lyudmila Titova,URS,SILVER,01:32.00,213
1968,"Grenoble, France",1000m Women,Dianne Holum,USA,BRONZE,01:33.00,213
1968,"Grenoble, France",1500m Women,Kaija Mustonen,FIN,GOLD,02:22.00,213
1968,"Grenoble, France",1500m Women,Carry Geijssen,NED,SILVER,02:22.00,213
1968,"Grenoble, France",1500m Women,Stien Baas-Kaiser,NED,BRONZE,02:24.00,213
1968,"Grenoble, France",3000m Women,Ans Schut,NED,GOLD,04:56.00,213
1968,"Grenoble, France",3000m Women,Kaija Mustonen,FIN,SILVER,05:01.00,213
1968,"Grenoble, France",3000m Women,Stien Baas-Kaiser,NED,BRONZE,05:01.00,213
1972,"Sapporo, Japan",500m Men,Erhard Keller,FRG,GOLD,00:39.44,90
1972,"Sapporo, Japan",500m Men,Hasse Börjes,SWE,SILVER,00:39.69,90
1972,"Sapporo, Japan",500m Men,Valery Muratov,URS,BRONZE,00:39.80,90
1972,"Sapporo, Japan",1500m Men,Ard Schenk,NED,GOLD,02:02.96,90
1972,"Sapporo, Japan",1500m Men,Roar Grønvold,NOR,SILVER,02:04.26,90
1972,"Sapporo, Japan",1500m Men,Göran Clæsson,SWE,BRONZE,02:05.89,90
1972,"Sapporo, Japan",5000m Men,Ard Schenk,NED,GOLD,07:23.61,90
1972,"Sapporo, Japan",5000m Men,Roar Grønvold,NOR,SILVER,07:28.18,90
1972,"Sapporo, Japan",5000m Men,Sten Stensen,NOR,BRONZE,07:33.39,90
1972,"Sapporo, Japan",10000m Men,Ard Schenk,NED,GOLD,15:01.35,90
1972,"Sapporo, Japan",10000m Men,Kees Verkerk,NED,SILVER,15:04.70,90
1972,"Sapporo, Japan",10000m Men,Sten Stensen,NOR,BRONZE,15:07.08,90
1972,"Sapporo, Japan",500m Women,Anne Henning,USA,GOLD,00:43.33,90
1972,"Sapporo, Japan",500m Women,Vera Krasnova,URS,SILVER,00:44.01,90
1972,"Sapporo, Japan",500m Women,Lyudmila Titova,URS,BRONZE,00:44.45,90
1972,"Sapporo, Japan",1000m Women,Monika Pflug,FRG,GOLD,01:31.40,90
1972,"Sapporo, Japan",1000m Women,Atje Keulen-Deelstra,NED,SILVER,01:31.61,90
1972,"Sapporo, Japan",1000m Women,Anne Henning,USA,BRONZE,01:31.62,90
1972,"Sapporo, Japan",1500m Women,Dianne Holum,USA,GOLD,02:20.85,90
1972,"Sapporo, Japan",1500m Women,Stien Baas-Kaiser,NED,SILVER,02:21.05,90
1972,"Sapporo, Japan",1500m Women,Atje Keulen-Deelstra,NED,BRONZE,02:22.05,90
1972,"Sapporo, Japan",3000m Women,Stien Baas-Kaiser,NED,GOLD,04:52.14,90
1972,"Sapporo, Japan",3000m Women,Dianne Holum,USA,SILVER,04:58.67,90
1972,"Sapporo, Japan",3000m Women,Atje Keulen-Deelstra,NED,BRONZE,04:59.91,90
1976,"Innsbruck, Austria",500m Men,Yevgeny Kulikov,URS,GOLD,00:39.17,590
1976,"Innsbruck, Austria",500m Men,Valery Muratov,URS,SILVER,00:39.25,590
1976,"Innsbruck, Austria",500m Men,Daniel Immerfall,USA,BRONZE,00:39.54,590
1976,"Innsbruck, Austria",1000m Men,Peter Mueller,USA,GOLD,01:19.32,590
1976,"Innsbruck, Austria",1000m Men,Jørn Didriksen,NOR,SILVER,01:20.45,590
1976,"Innsbruck, Austria",1000m Men,Valery Muratov,URS,BRONZE,01:20.57,590
1976,"Innsbruck, Austria",1500m Men,Jan Egil Storholt,NOR,GOLD,01:59.38,590
1976,"Innsbruck, Austria",1500m Men,Yuri Kondakov,URS,SILVER,01:59.97,590
1976,"Innsbruck, Austria",1500m Men,Hans van Helden,NED,BRONZE,02:00.87,590
1976,"Innsbruck, Austria",5000m Men,Sten Stensen,NOR,GOLD,07:24.48,590
1976,"Innsbruck, Austria",5000m Men,Piet Kleine,NED,SILVER,07:26.47,590
1976,"Innsbruck, Austria",5000m Men,Hans van Helden,NED,BRONZE,07:26.54,590
1976,"Innsbruck, Austria",10000m Men,Piet Kleine,NED,GOLD,14:50.59,590
1976,"Innsbruck, Austria",10000m Men,Sten Stensen,NOR,SILVER,14:53.30,590
1976,"Innsbruck, Austria",10000m Men,Hans van Helden,NED,BRONZE,15:02.02,590
1976,"Innsbruck, Austria",500m Women,Sheila Young,USA,GOLD,00:42.76,590
1976,"Innsbruck, Austria",500m Women,Cathy Priestner,CAN,SILVER,00:43.12,590
1976,"Innsbruck, Austria",500m Women,Tatyana Averina,URS,BRONZE,00:43.17,590
1976,"Innsbruck, Austria",1000m Women,Tatyana Averina,URS,GOLD,01:28.43,590
1976,"Innsbruck, Austria",1000m Women,Leah Poulos-Mueller,USA,SILVER,01:28.57,590
1976,"Innsbruck, Austria",1000m Women,Sheila Young,USA,BRONZE,01:29.14,590
1976,"Innsbruck, Austria",1500m Women,Galina Stepanskaya,URS,GOLD,02:16.58,590
1976,"Innsbruck, Austria",1500m Women,Sheila Young,USA,SILVER,02:17.06,590
1976,"Innsbruck, Austria",1500m Women,Tatyana Averina,URS,BRONZE,02:17.96,590
1976,"Innsbruck, Austria",3000m Women,Tatyana Averina,URS,GOLD,04:45.19,590
1976,"Innsbruck, Austria",3000m Women,Andrea Schöne,GDR,SILVER,04:45.23,590
1976,"Innsbruck, Austria",3000m Women,Lisbeth Korsmo-Berg,NOR,BRONZE,04:45.24,590
1980,"Lake Placid, United States",500m Men,Eric Heiden,USA,GOLD,00:38.03,550
1980,"Lake Placid, United States",500m Men,Yevgeny Kulikov,URS,SILVER,00:38.37,550
1980,"Lake Placid, United States",500m Men,Lieuwe de Boer,NED,BRONZE,00:38.48,550
1980,"Lake Placid, United States",1000m Men,Eric Heiden,USA,GOLD,01:15.18,550
1980,"Lake Placid, United States",1000m Men,Gaétan Boucher,CAN,SILVER,01:16.68,550
1980,"Lake Placid, United States",1000m Men,Vladimir Lobanov,URS,BRONZE,01:16.91,550
1980,"Lake Placid, United States",1000m Men,Frode Rønning,NOR,BRONZE,01:16.91,550
1980,"Lake Placid, United States",1500m Men,Eric Heiden,USA,GOLD,01:55.44,550
1980,"Lake Placid, United States",1500m Men,Kay Arne Stenshjemmet,NOR,SILVER,01:56.81,550
1980,"Lake Placid, United States",1500m Men,Terje Andersen,NOR,BRONZE,01:56.92,550
1980,"Lake Placid, United States",5000m Men,Eric Heiden,USA,GOLD,07:02.29,550
1980,"Lake Placid, United States",5000m Men,Kay Arne Stenshjemmet,NOR,SILVER,07:03.28,550
1980,"Lake Placid, United States",5000m Men,Tom Erik Oxholm,NOR,BRONZE,07:05.59,550
1980,"Lake Placid, United States",10000m Men,Eric Heiden,USA,GOLD,14:28.13,550
1980,"Lake Placid, United States",10000m Men,Piet Kleine,NED,SILVER,14:36.03,550
1980,"Lake Placid, United States",10000m Men,Tom Erik Oxholm,NOR,BRONZE,14:36.60,550
1980,"Lake Placid, United States",500m Women,Karin Enke,GDR,GOLD,00:41.78,550
1980,"Lake Placid, United States",500m Women,Leah Poulos-Mueller,USA,SILVER,00:42.26,550
1980,"Lake Placid, United States",500m Women,Natalya Petruseva,URS,BRONZE,00:42.42,550
1980,"Lake Placid, United States",1000m Women,Natalya Petruseva,URS,GOLD,01:24.10,550
1980,"Lake Placid, United States",1000m Women,Leah Poulos-Mueller,USA,SILVER,01:25.41,550
1980,"Lake Placid, United States",1000m Women,Silvia Albrecht,GDR,BRONZE,01:26.46,550
1980,"Lake Placid, United States",1500m Women,Annie Borckink,NED,GOLD,02:10.95,550
1980,"Lake Placid, United States",1500m Women,Ria Visser,NED,SILVER,02:12.35,550
1980,"Lake Placid, United States",1500m Women,Sabine Becker,GDR,BRONZE,02:12.38,550
1980,"Lake Placid, United States",3000m Women,Bjørg Eva Jensen,NOR,GOLD,04:32.13,550
1980,"Lake Placid, United States",3000m Women,Sabine Becker,GDR,SILVER,04:32.79,550
1980,"Lake Placid, United States",3000m Women,Beth Heiden,USA,BRONZE,04:33.77,550
1984,"Sarajevo, Yugoslavia",500m Men,Sergey Fokichev,URS,GOLD,00:38.19,580
1984,"Sarajevo, Yugoslavia",500m Men,Yoshihiro Kitazawa,JPN,SILVER,00:38.30,580
1984,"Sarajevo, Yugoslavia",500m Men,Gaétan Boucher,CAN,BRONZE,00:38.90,580
1984,"Sarajevo, Yugoslavia",1000m Men,Gaétan Boucher,CAN,GOLD,01:15.80,580
1984,"Sarajevo, Yugoslavia",1000m Men,Sergey Khlebnikov,URS,SILVER,01:16.63,580
